images,x,y
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.7,2#0.17___0#1.0,1#0.0,2#0.0___2013年08月21日16时39分IM009323.JPG",245.76,262.68
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.7,2#0.18___0#0.76,4#0.18,5#0.02___2014年11月19日14时28分IM002860.JPG",267.13,313.88
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.7,2#0.19___0#0.41,7#0.39,1#0.14___2016年11月04日11时17分IM000428.JPG",228.27,288.11
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.2___0#0.98,1#0.01___0#0.51,9#0.45,8#0.04___2017年03月27日09时43分IM001152.JPG",267.09,290.63
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.2___0#1.0,1#0.0___0#0.63,4#0.14,8#0.13___2017年02月20日11时26分IM002801.JPG",248.27,310.46
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.11___0#0.8,12#0.07,22#0.03___2015年06月08日10时58分IM005405.JPG",252.22,312.77
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.11___0#0.45,4#0.43,2#0.04___2015年11月13日10时57分IM000966.JPG",256.45,311.65
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.11___0#0.72,4#0.26,24#0.01___2016年11月10日11时28分IM001056.JPG",265.92,278.86
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.11___0#0.74,4#0.23,5#0.02___chen_bi lian_07011949_CBL19490107_523202.jpg",165.33,268.0
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.11___0#0.85,4#0.08,12#0.05___chen_bi lian_07011949_CBL19490107_523204.jpg",182.0,266.67
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.11___0#0.86,12#0.13,1#0.0___2014年10月17日10时56分IM004467.JPG",271.81,302.08
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.11___0#0.88,1#0.03,11#0.03___2017年03月06日16时43分IM004159.JPG",261.21,298.69
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.11___0#0.99,1#0.01,2#0.0___2014年12月19日11时09分IM000815.JPG",231.51,263.12
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.12___0#0.32,4#0.29,19#0.25___2013年10月15日12时06分IM002255.JPG",262.01,333.69
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.12___0#0.38,9#0.35,1#0.08___2015年02月04日10时01分IM001265.JPG",241.31,315.21
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.12___0#0.58,9#0.27,11#0.14___2016年04月06日09时55分IM001929.JPG",264.74,312.81
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.12___0#0.64,9#0.16,24#0.16___2017年06月13日11时25分IM003375.JPG",256.5,268.94
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.12___0#0.68,7#0.15,9#0.07___2013年09月17日15时11分IM001178.JPG",255.55,309.2
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.12___0#0.73,4#0.26,5#0.01___chen_bi lian_07011949_CBL19490107_523203.jpg",176.67,262.0
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.12___0#0.76,9#0.11,4#0.08___2017年06月16日10时04分IM003806.JPG",257.18,312.65
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.12___0#0.99,1#0.0,2#0.0___2014年03月22日09时30分IM004148.JPG",263.79,307.87
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.8,1#0.12___0#1.0,1#0.0,2#0.0___2017年01月03日11时49分IM002181.JPG",256.5,307.44
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.9,1#0.1___0#1.0,1#0.0___0#0.62,9#0.3,19#0.06___pan_yan juan_01081962_PYJ19620801_557869.jpg",165.33,288.0
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.39,1#0.34___0#0.28,11#0.27,8#0.19___2014年08月27日09时55分IM004054.JPG",242.42,287.61
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.45,2#0.44___0#0.98,4#0.01,1#0.0___sxz19521127_20161027_095405_Color_R_001.jpg",206.51,272.82
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.47,2#0.39___0#0.72,4#0.23,21#0.05___ZQJ195920710_20170503_162558_Color_R_001.jpg",229.67,287.21
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.48,2#0.4___0#0.92,4#0.08,1#0.0___HXF19500520_20161022_123156_Color_R_001.jpg",220.4,266.48
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.49,2#0.29___0#0.72,11#0.18,4#0.04___HYW19400928_20161108_170325_Color_L_001.jpg",295.74,291.11
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.51,2#0.33___0#0.98,4#0.02,1#0.0___ZQJ195920710_20170503_162957_Color_L_001.jpg",295.74,282.82
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.52,2#0.36___0#0.63,8#0.32,11#0.03___2013年03月18日11时14分IM003677.JPG",267.35,317.66
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.52,3#0.3___0#0.86,9#0.08,11#0.04___2014年05月09日10时55分IM002519.JPG",247.76,317.66
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.52,3#0.33___0#0.35,4#0.3,1#0.22___2016年06月02日14时37分IM000850.JPG",260.03,309.28
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.53,1#0.47___0#1.0,1#0.0___0#1.0,1#0.0,2#0.0___ZQZ19591014_20161115_105343_Color_L_001.jpg",292.08,281.84
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.53,2#0.36___0#0.75,5#0.16,4#0.04___2014年07月15日11时18分IM005504.JPG",241.98,314.1
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.54,2#0.35___0#0.72,8#0.2,11#0.05___2013年03月18日11时14分IM003676.JPG",259.12,313.88
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.54,3#0.3___0#0.99,1#0.0,2#0.0___2015年06月04日09时40分IM005060.JPG",266.02,277.37
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.55,3#0.3___0#0.31,4#0.24,24#0.15___2013年07月05日10时45分IM006281.JPG",263.79,317.44
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.56,1#0.21___0#0.99,1#0.0,2#0.0___LLZ19530928_20170208_162935_Color_L_001.jpg",288.18,277.94
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.56,1#0.33___0#0.85,19#0.08,9#0.02___RBY19721110_20161229_114124_Color_R_001.jpg",236.98,270.14
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.56,1#0.35___0#0.61,4#0.33,11#0.04___2017年07月10日12时04分IM000173.JPG",258.86,274.32
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.56,2#0.31___0#0.86,11#0.08,8#0.03___2015年08月04日12时29分IM001167.JPG",225.73,363.3
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.56,2#0.33___0#0.89,8#0.05,6#0.02___2017年01月23日11时17分IM000966.JPG",254.32,310.46
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.57,2#0.31___0#0.82,4#0.05,11#0.05___2015年09月11日11时03分IM004937.JPG",258.0,312.77
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.58,1#0.23___0#0.9,15#0.05,8#0.02___chen_xiu lan_14051961_CXL_468085.jpg",332.0,286.67
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.58,1#0.28___0#0.51,11#0.43,24#0.03___2016年10月09日08时30分IM000805.JPG",246.08,317.35
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.58,2#0.3___0#0.95,4#0.04,1#0.0___LAZ19611109_20170429_110620_Color_R_001.jpg",210.65,271.36
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.58,2#0.29___0#0.99,1#0.0,2#0.0___2015年05月30日12时01分IM004700.JPG",269.36,314.99
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.59,2#0.27___0#0.48,24#0.29,5#0.08___2013年07月11日10时08分IM006569.JPG",357.29,286.5
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.59,2#0.29___0#0.95,6#0.03,8#0.01___2015年08月14日15时00分IM002410.JPG",253.33,313.88
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.61,1#0.27___0#0.65,9#0.27,11#0.06___2016年05月19日11时37分IM002645.JPG",261.21,313.99
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.61,1#0.31___0#0.58,9#0.38,7#0.01___2014年01月21日15时52分IM008863.JPG",270.47,313.88
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.61,2#0.21___0#0.53,11#0.24,9#0.14___lin_yu xiang_28111951_LYX19511128_495102.jpg",292.0,274.67
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.61,2#0.26___0#0.62,8#0.15,11#0.07___2014年11月14日09时33分IM002378.JPG",252.22,310.54
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.61,2#0.27___0#0.5,4#0.47,24#0.02___ZSL19540408_20170227_121359_Color_R_001.jpg",257.95,295.25
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.61,3#0.16___0#1.0,1#0.0,2#0.0___shen_ya yu_22121958_SYY19581222_488550.jpg",146.67,277.33
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.62,1#0.28___0#0.43,8#0.26,11#0.21___2016年08月01日16时17分IM000374.JPG",262.39,310.46
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.62,2#0.24___0#0.84,4#0.16,1#0.0___ZKX19541014_20170608_103351_Color_R_001.jpg",205.29,284.53
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.62,2#0.27___0#0.97,3#0.01,7#0.01___HXL19700825_20170311_123432_Color_L_001.jpg",264.53,277.94
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.63,2#0.23___0#1.0,1#0.0,2#0.0___OEH19560416_20170421_105259_Color_R_001.jpg",210.65,270.14
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.63,3#0.23___0#0.35,1#0.22,9#0.21___2016年05月17日09时59分IM002345.JPG",263.56,317.35
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.64,1#0.28___0#0.34,9#0.23,11#0.13___2016年09月17日10时37分IM001432.JPG",256.5,313.99
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.64,2#0.21___0#0.94,11#0.03,4#0.01___CPQ19481030_20161108_131208_Color_L_004.jpg",275.02,287.21
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.64,2#0.24___0#0.76,4#0.16,9#0.03___2014年06月03日14时28分IM004577.JPG",280.93,270.47
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.64,2#0.24___0#0.99,1#0.0,2#0.0___HXF19590622_20170415_115115_Color_L_001.jpg",290.86,266.24
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.65,1#0.28___0#0.53,8#0.19,9#0.14___2016年09月20日09时25分IM001637.JPG",278.86,312.81
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.65,1#0.35___0#1.0,1#0.0___0#0.56,6#0.25,19#0.05___2016年11月24日11时39分IM002390.JPG",274.15,339.54
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.65,2#0.22___0#0.58,8#0.22,11#0.19___2015年08月04日12时29分IM001166.JPG",243.09,335.69
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.65,2#0.23___0#0.98,9#0.02,1#0.0___CSX19550425_20161224_105102_Color_L_001.jpg",288.18,274.04
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.66,1#0.34___0#0.99,2#0.01___0#1.0,1#0.0,2#0.0___2013年08月21日16时39分IM009323.JPG",237.3,267.13
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.66,2#0.22___0#0.33,9#0.29,4#0.14___2015年06月16日09时42分IM000561.JPG",188.33,309.43
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.67,1#0.33___0#0.58,1#0.42___0#0.99,1#0.0,2#0.0___2013年09月21日10时37分IM001313.JPG",259.12,302.53
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.67,2#0.22___0#0.92,6#0.03,4#0.02___2015年07月18日11时48分IM002906.JPG",260.23,316.33
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.67,3#0.18___0#0.5,4#0.24,1#0.12___2016年08月03日09时19分IM000516.JPG",253.14,311.64
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.68,2#0.2___0#0.55,4#0.15,24#0.09___2015年05月22日11时00分IM004030.JPG",262.68,309.2
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.68,2#0.2___0#0.93,9#0.04,8#0.01___2016年01月22日16时19分IM002238.JPG",271.81,311.65
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.68,2#0.2___0#0.99,4#0.01,1#0.0___2015年12月17日03时20分IM004187.JPG",266.02,278.48
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.68,2#0.19___0#0.83,11#0.08,24#0.06___2016年10月09日15时32分IM000904.JPG",255.5,313.99
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.69,2#0.19___0#0.5,21#0.2,7#0.14___2016年01月11日09时09分IM001079.JPG",270.47,312.77
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.69,2#0.19___0#0.91,11#0.07,4#0.02___OEH19560416_20170421_105507_Color_L_001.jpg",289.65,280.62
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.71,1#0.21___0#0.97,9#0.01,19#0.01___yang_li min_29041962_YLM19620429_471801.jpg",264.0,272.0
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.71,2#0.16___0#0.77,11#0.22,21#0.01___2015年05月18日09时58分IM003614.JPG",255.78,301.41
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.71,3#0.12___0#0.82,21#0.1,11#0.04___2013年10月17日11时34分IM002437.JPG",259.12,303.64
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.72,1#0.13___0#0.31,9#0.27,8#0.17___2014年03月04日09时16分IM002752.JPG",264.9,314.99
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.72,2#0.15___0#1.0,1#0.0,2#0.0___2014年11月04日10时10分IM001386.JPG",267.13,290.06
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.72,2#0.16___0#0.8,11#0.16,7#0.01___2014年09月24日11时06分IM002649.JPG",254.44,302.53
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.73,1#0.2___0#0.66,11#0.16,7#0.08___2017年07月03日11时37分IM005283.JPG",268.27,308.11
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.73,1#0.13___0#0.86,8#0.09,9#0.03___2015年04月13日16时18分IM001064.JPG",269.36,305.86
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.73,1#0.27___0#1.0,1#0.0___0#0.48,8#0.3,11#0.19___2016年10月26日11时44分IM002613.JPG",255.5,303.4
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.73,2#0.15___0#0.67,4#0.28,11#0.01___2017年08月04日08时51分IM002153.JPG",262.39,315.0
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.73,2#0.16___0#0.91,9#0.05,11#0.03___2014年09月12日10时57分IM001493.JPG",270.47,295.62
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.74,1#0.12___0#0.9,8#0.08,1#0.0___2015年03月26日09时23分IM004902.JPG",275.14,310.54
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.74,1#0.14___0#0.69,11#0.24,8#0.03___2014年01月06日09时13分IM007511.JPG",232.85,324.12
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.74,1#0.19___0#0.79,9#0.07,8#0.05___2017年04月25日15时41分IM003615.JPG",269.45,327.94
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.74,1#0.26___0#0.76,1#0.22___0#0.97,11#0.02,9#0.01___2015年05月12日10时42分IM003175.JPG",264.9,328.79
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.74,2#0.13___0#0.49,12#0.25,24#0.25___2013年02月26日15时27分IM001527.JPG",256.89,287.61
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.74,2#0.14___0#0.88,24#0.08,8#0.01___2015年03月13日11时13分IM003707.JPG",261.34,316.33
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.74,2#0.14___0#0.93,7#0.03,21#0.03___ZSL19540408_20170227_121520_Color_L_001.jpg",248.69,291.11
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.75,1#0.25___0#1.0,1#0.0___0#0.72,8#0.2,11#0.05___2013年03月18日11时14分IM003676.JPG",262.46,313.88
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.76,1#0.12___0#0.54,21#0.24,8#0.12___2017年05月13日10时41分IM000766.JPG",253.14,302.22
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.76,1#0.12___0#0.99,1#0.0,2#0.0___2015年02月26日10时22分IM002488.JPG",251.1,278.48
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.76,1#0.16___0#0.45,21#0.36,7#0.07___2013年08月31日10时49分IM000255.JPG",267.13,255.78
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.76,1#0.17___0#0.43,8#0.23,9#0.16___2013年02月28日12时14分IM001689.JPG",373.31,267.13
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.76,1#0.17___0#0.93,21#0.03,7#0.01___2017年03月06日12时29分IM004088.JPG",289.28,311.64
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.76,1#0.24___0#1.0,1#0.0___0#1.0,1#0.0,2#0.0___2015年10月20日10时58分IM001677.JPG",256.89,326.57
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.76,2#0.13___0#0.94,4#0.03,6#0.01___2015年07月18日10时35分IM002849.JPG",263.79,319.67
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.77,1#0.12___0#0.32,1#0.2,7#0.15___2016年07月18日09时47分IM001763.JPG",260.03,320.88
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.77,1#0.12___0#0.48,4#0.35,9#0.1___2015年08月07日10时28分IM001661.JPG",271.81,278.48
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.77,1#0.12___0#0.62,4#0.26,1#0.1___2014年06月30日09时22分IM003041.JPG",264.9,228.4
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.77,1#0.14___0#0.56,11#0.33,9#0.03___2015年05月19日15时31分IM003837.JPG",261.34,312.77
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.77,1#0.15___0#0.51,11#0.19,8#0.11___2014年12月10日10时25分IM004718.JPG",333.47,314.99
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.77,1#0.15___0#0.62,7#0.17,4#0.08___IM001213.JPG",319.67,307.2
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.77,1#0.16___0#0.48,4#0.33,7#0.07___2016年09月10日10时40分IM000974.JPG",267.09,319.71
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.77,1#0.16___0#0.51,7#0.32,8#0.08___2017年07月25日10时29分IM001313.JPG",261.21,308.11
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.77,1#0.17___0#0.98,1#0.0,2#0.0___2013年11月22日11时58分IM004690.JPG",258.67,312.32
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.77,1#0.23___2014年10月09日10时17分IM003748.JPG",268.24,326.57
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.77,2#0.12___0#0.46,4#0.26,15#0.16___2016年03月05日09时35分IM005475.JPG",261.34,312.77
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.77,2#0.12___0#0.88,7#0.05,12#0.03___2014年11月27日16时15分IM003627.JPG",267.13,304.75
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.77,2#0.12___0#0.98,4#0.01,21#0.01___HSX19460328_20170822_120710_Color_L_001.jpg",302.81,271.36
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.78,1#0.11___0#0.58,4#0.33,9#0.04___2013年07月18日16时10分IM007162.JPG",247.54,264.9
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.78,1#0.11___0#0.73,7#0.1,21#0.07___2014年06月17日15时27分IM001314.JPG",258.67,330.57
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.78,1#0.11___0#0.74,21#0.19,7#0.04___2016年07月12日16时57分IM001176.JPG",256.5,309.28
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.78,1#0.11___0#0.92,9#0.07,1#0.0___2013年04月22日10时47分IM001689.JPG",259.12,320.78
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.78,1#0.13___0#0.63,8#0.15,11#0.1___2017年03月17日11时55分IM000439.JPG",248.44,308.11
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.78,1#0.13___0#0.63,8#0.35,9#0.02___2016年10月26日11时44分IM002614.JPG",246.08,315.0
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.78,1#0.13___0#0.98,9#0.01,1#0.0___2015年04月10日10时10分IM000876.JPG",251.1,323.67
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.78,1#0.14___0#0.64,9#0.32,1#0.03___2016年03月01日09时44分IM004981.JPG",241.98,306.98
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.79,1#0.11___0#0.43,9#0.41,21#0.12___2017年03月30日11时30分IM001490.JPG",264.74,312.14
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.79,1#0.11___0#0.48,4#0.27,19#0.17___2014年11月18日10时52分IM002658.JPG",263.79,316.77
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.79,1#0.11___0#0.48,21#0.33,8#0.07___2016年01月13日11时45分IM001374.JPG",266.02,310.54
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.79,1#0.11___0#0.57,21#0.27,7#0.05___2017年07月18日08时41分IM000740.JPG",267.09,313.32
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.79,1#0.11___0#0.59,4#0.36,8#0.02___chen_li zhen_06081954_CLZ19540806_526165.jpg",204.0,256.0
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.79,1#0.11___0#0.98,1#0.0,2#0.0___2017年08月03日11时00分IM002077.JPG",250.79,326.77
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.79,1#0.11___0#0.98,11#0.02,1#0.0___2017年06月12日09时36分IM003150.JPG",264.74,302.22
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.79,1#0.11___0#0.99,1#0.0,2#0.0___2014年10月21日09时55分IM000176.JPG",261.34,312.77
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.79,1#0.12___0#0.34,8#0.31,21#0.22___2017年06月07日15时48分IM002749.JPG",256.5,310.46
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.79,1#0.12___0#0.38,7#0.3,4#0.22___2016年07月04日09时53分IM000198.JPG",265.92,319.71
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.79,1#0.12___0#0.48,8#0.3,11#0.19___2016年10月26日11时44分IM002613.JPG",254.32,303.4
